City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Ceres,US,37.5949,-120.9577,63.05,44,0,10.36,clear sky
141,Morena,IN,26.4969,78.0,74.86,48,0,5.66,clear sky
142,Santarem,BR,-2.4431,-54.7083,75.33,100,0,1.14,clear sky
143,Lumberton,US,34.6182,-79.0086,68.0,83,100,5.75,overcast clouds
144,Port Alfred,ZA,-33.5906,26.891,58.17,96,0,13.6,clear sky
145,Tananger,NO,58.9333,5.6,55.33,90,40,14.97,scattered clouds
146,Lanzhou,CN,36.0564,103.7922,59.11,62,11,4.81,few clouds
147,Khani,GE,41.9563,42.9566,38.77,76,37,3.74,scattered clouds
148,Zhaoqing,CN,23.0512,112.4597,81.82,48,7,2.59,clear sky
149,Ravar,IR,31.2656,56.8055,64.11,31,0,1.88,clear sky
150,Thompson,CA,55.7435,-97.8558,20.01,96,30,5.46,scattered clouds
151,Saint-Paul,RE,-21.0096,55.2707,74.35,79,100,3.27,overcast clouds
152,Hilo,US,19.7297,-155.09,76.12,97,100,4.61,overcast clouds
153,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,72,100,12.26,light rain
154,Saint George,US,37.1041,-113.5841,61.39,26,0,4.61,clear sky
155,Mahon,ES,39.8885,4.2658,68.56,100,100,2.3,mist
156,Ponazyrevo,RU,58.3578,46.3142,30.4,78,99,8.59,overcast clouds
157,Buchanan,LR,5.8808,-10.0467,76.95,89,93,5.26,moderate rain
158,Noboribetsu,JP,42.4514,141.1731,54.3,59,6,3.98,clear sky
159,Ipixuna,BR,-1.7625,-48.8043,73.8,95,100,3.18,overcast clouds
160,Bereznik,RU,62.8551,42.7072,35.65,92,100,8.48,overcast clouds
161,Alihe,CN,50.5667,123.7167,38.37,33,0,2.91,clear sky
162,Phan Thiet,VN,10.9333,108.1,80.67,82,100,2.55,overcast clouds
163,Camacari,BR,-12.6975,-38.3242,74.97,96,99,3.38,overcast clouds
164,Henties Bay,NA,-22.116,14.2845,57.67,92,2,2.82,clear sky
165,Noumea,NC,-22.2763,166.4572,89.58,68,35,8.86,scattered clouds
166,Mahebourg,MU,-20.4081,57.7,75.49,73,40,13.8,scattered clouds
167,Olivet,FR,47.8622,1.8991,59.99,84,0,10.36,clear sky
168,Puerto Ayora,EC,-0.7393,-90.3518,64.54,98,31,7.0,scattered clouds
169,Kemijarvi,FI,66.7131,27.4306,22.51,97,43,2.57,scattered clouds
170,Husavik,IS,66.0449,-17.3389,38.37,91,98,4.12,overcast clouds
171,Oistins,BB,13.0667,-59.5333,82.49,78,40,19.57,scattered clouds
